GeneID	TISSUE_001	TISSUE_002	TISSUE_003	TISSUE_004	TISSUE_005	TISSUE_006	TISSUE_007	TISSUE_008	TISSUE_009	TISSUE_010	TISSUE_011	TISSUE_012	TISSUE_013	TISSUE_014	TISSUE_015	TISSUE_016	TISSUE_017	TISSUE_018	TISSUE_019	TISSUE_020	TISSUE_021	TISSUE_022	TISSUE_023	TISSUE_024	TISSUE_025	TISSUE_026	TISSUE_027	TISSUE_028	TISSUE_029	TISSUE_030	TISSUE_031	TISSUE_032	TISSUE_033	TISSUE_034	TISSUE_035	TISSUE_036	TISSUE_037	TISSUE_038	TISSUE_039	TISSUE_040	TISSUE_041	TISSUE_042	TISSUE_043	TISSUE_044	TISSUE_045	TISSUE_046	TISSUE_047	TISSUE_048	TISSUE_049	TISSUE_050	TISSUE_051	TISSUE_052	TISSUE_053	TISSUE_054	TISSUE_055	TISSUE_056	TISSUE_057	TISSUE_058	TISSUE_059	TISSUE_060	TISSUE_061	TISSUE_062	TISSUE_063	TISSUE_064	TISSUE_065	TISSUE_066	TISSUE_067	TISSUE_068	TISSUE_069	TISSUE_070	TISSUE_071	TISSUE_072	TISSUE_073	TISSUE_074	TISSUE_075	TISSUE_076	TISSUE_077	TISSUE_078	TISSUE_079	TISSUE_080	TISSUE_081	TISSUE_082	TISSUE_083	TISSUE_084	TISSUE_085	TISSUE_086	TISSUE_087	TISSUE_088	TISSUE_089	TISSUE_090	TISSUE_091	TISSUE_092	TISSUE_093	TISSUE_094	TISSUE_095	TISSUE_096	TISSUE_097	TISSUE_098	TISSUE_099	TISSUE_100
100000001	6.391	6.708	6.996	7.245	7.448	7.596	7.683	7.703	7.654	7.534	7.342	7.080	6.754	6.367	5.928	5.445	4.929	4.390	3.840	3.292	2.759	2.252	1.784	1.366	1.007	0.717	0.503	0.370	0.321	0.358	0.480	0.685	0.967	1.321	1.738	2.209	2.722	3.266	3.828	4.396	4.957	5.498	6.008	6.476	6.892	7.248	7.537	7.755	7.899	7.967	7.961	7.883	7.738	7.532	7.272	6.966	6.625	6.259	5.877	5.490	5.108	4.741	4.398	4.086	3.812	3.580	3.395	3.259	3.171	3.131	3.136	3.182	3.264	3.376	3.510	3.659	3.816	3.973	4.121	4.255	4.368	4.454	4.509	4.531	4.518	4.470	4.387	4.274	4.134	3.972	3.794	3.608	3.422	3.243	3.079	2.938	2.829	2.757	2.728	2.748
100000002	6.416	6.731	7.017	7.264	7.463	7.607	7.689	7.704	7.650	7.524	7.327	7.061	6.729	6.338	5.896	5.410	4.891	4.350	3.800	3.253	2.721	2.216	1.752	1.337	0.984	0.699	0.490	0.363	0.321	0.364	0.492	0.703	0.991	1.349	1.771	2.244	2.760	3.306	3.869	4.437	4.996	5.536	6.043	6.507	6.918	7.270	7.554	7.766	7.904	7.967	7.956	7.873	7.723	7.513	7.249	6.941	6.598	6.230	5.848	5.461	5.081	4.716	4.375	4.066	3.795	3.567	3.386	3.253	3.169	3.133	3.141	3.190	3.274	3.388	3.524	3.674	3.831	3.987	4.134	4.266	4.377	4.460	4.513	4.532	4.516	4.464	4.379	4.264	4.121	3.957	3.779	3.592	3.406	3.227	3.065	2.926	2.819	2.750	2.725	2.748
100000003	6.441	6.755	7.039	7.282	7.478	7.617	7.695	7.705	7.645	7.514	7.312	7.040	6.704	6.309	5.863	5.374	4.853	4.311	3.761	3.214	2.683	2.181	1.720	1.309	0.960	0.681	0.478	0.357	0.321	0.370	0.505	0.721	1.014	1.378	1.803	2.280	2.799	3.346	3.910	4.477	5.036	5.573	6.077	6.537	6.945	7.291	7.570	7.777	7.909	7.967	7.950	7.862	7.708	7.493	7.226	6.916	6.571	6.202	5.819	5.433	5.053	4.690	4.352	4.046	3.778	3.554	3.377	3.248	3.168	3.135	3.146	3.198	3.285	3.400	3.537	3.688	3.845	4.001	4.147	4.277	4.385	4.467	4.516	4.532	4.513	4.459	4.371	4.253	4.108	3.943	3.763	3.576	3.389	3.212	3.050	2.914	2.809	2.744	2.722	2.749
100000004	6.467	6.779	7.060	7.300	7.492	7.627	7.700	7.705	7.640	7.504	7.296	7.020	6.679	6.280	5.830	5.338	4.815	4.272	3.721	3.175	2.646	2.146	1.688	1.282	0.937	0.663	0.467	0.351	0.321	0.377	0.517	0.740	1.038	1.406	1.836	2.316	2.837	3.386	3.950	4.517	5.075	5.610	6.111	6.568	6.971	7.312	7.586	7.787	7.914	7.966	7.944	7.851	7.692	7.474	7.203	6.890	6.543	6.173	5.790	5.404	5.026	4.665	4.329	4.026	3.762	3.541	3.368	3.243	3.166	3.137	3.152	3.207	3.296	3.413	3.551	3.703	3.860	4.014	4.159	4.288	4.394	4.473	4.520	4.533	4.510	4.453	4.363	4.242	4.095	3.928	3.747	3.560	3.373	3.196	3.036	2.902	2.800	2.737	2.719	2.750
100000005	6.492	6.802	7.081	7.318	7.506	7.637	7.705	7.705	7.635	7.493	7.280	6.999	6.653	6.250	5.796	5.302	4.777	4.233	3.682	3.136	2.609	2.111	1.656	1.254	0.915	0.646	0.455	0.346	0.322	0.384	0.531	0.759	1.062	1.435	1.869	2.353	2.876	3.426	3.991	4.558	5.114	5.646	6.144	6.597	6.996	7.333	7.601	7.797	7.919	7.965	7.937	7.840	7.676	7.454	7.180	6.864	6.516	6.145	5.761	5.376	4.999	4.640	4.306	4.006	3.745	3.529	3.359	3.238	3.165	3.140	3.158	3.215	3.307	3.426	3.565	3.717	3.874	4.028	4.172	4.299	4.402	4.478	4.523	4.533	4.507	4.447	4.354	4.230	4.082	3.913	3.731	3.543	3.357	3.181	3.023	2.890	2.791	2.731	2.717	2.752
100000006	6.517	6.826	7.102	7.336	7.520	7.646	7.710	7.705	7.629	7.482	7.264	6.978	6.627	6.220	5.763	5.266	4.739	4.193	3.642	3.097	2.571	2.077	1.625	1.227	0.893	0.630	0.444	0.341	0.324	0.392	0.544	0.778	1.087	1.465	1.902	2.389	2.915	3.466	4.032	4.598	5.152	5.683	6.178	6.627	7.021	7.353	7.616	7.807	7.923	7.963	7.931	7.828	7.660	7.434	7.157	6.839	6.488	6.116	5.732	5.348	4.972	4.615	4.284	3.987	3.730	3.517	3.351	3.233	3.165	3.142	3.164	3.224	3.318	3.439	3.579	3.731	3.888	4.042	4.184	4.309	4.411	4.484	4.525	4.532	4.504	4.441	4.345	4.219	4.068	3.898	3.715	3.527	3.341	3.166	3.009	2.879	2.782	2.726	2.715	2.754
100000007	6.542	6.849	7.122	7.353	7.533	7.655	7.714	7.704	7.623	7.471	7.247	6.956	6.601	6.190	5.729	5.229	4.700	4.154	3.602	3.059	2.534	2.043	1.594	1.201	0.871	0.613	0.434	0.337	0.326	0.400	0.559	0.798	1.112	1.495	1.936	2.426	2.954	3.507	4.072	4.638	5.191	5.719	6.211	6.656	7.046	7.373	7.631	7.816	7.926	7.961	7.923	7.816	7.644	7.413	7.133	6.813	6.460	6.087	5.704	5.320	4.946	4.590	4.262	3.968	3.714	3.505	3.343	3.229	3.164	3.146	3.170	3.233	3.329	3.452	3.593	3.746	3.903	4.055	4.196	4.319	4.419	4.489	4.528	4.532	4.500	4.434	4.336	4.207	4.055	3.883	3.699	3.510	3.325	3.150	2.995	2.867	2.773	2.720	2.713	2.756
100000008	6.567	6.872	7.143	7.370	7.546	7.664	7.718	7.703	7.617	7.459	7.230	6.934	6.575	6.159	5.695	5.192	4.662	4.114	3.563	3.020	2.498	2.008	1.564	1.175	0.850	0.597	0.424	0.333	0.328	0.409	0.573	0.818	1.138	1.525	1.970	2.463	2.993	3.547	4.113	4.678	5.230	5.755	6.244	6.685	7.070	7.392	7.645	7.824	7.929	7.959	7.916	7.803	7.627	7.393	7.110	6.786	6.433	6.059	5.675	5.292	4.919	4.566	4.240	3.949	3.699	3.493	3.335	3.225	3.164	3.149	3.177	3.242	3.341	3.465	3.607	3.760	3.917	4.068	4.208	4.329	4.426	4.494	4.530	4.531	4.497	4.428	4.326	4.196	4.041	3.868	3.683	3.494	3.309	3.135	2.982	2.856	2.765	2.715	2.712	2.758
100000009	6.592	6.895	7.163	7.387	7.559	7.673	7.721	7.701	7.610	7.446	7.213	6.911	6.548	6.128	5.661	5.155	4.623	4.075	3.523	2.981	2.461	1.975	1.534	1.149	0.829	0.582	0.414	0.330	0.331	0.418	0.588	0.839	1.163	1.555	2.004	2.500	3.032	3.587	4.154	4.718	5.268	5.791	6.276	6.714	7.095	7.411	7.659	7.833	7.932	7.956	7.908	7.791	7.610	7.372	7.086	6.760	6.405	6.030	5.646	5.264	4.893	4.541	4.218	3.931	3.684	3.482	3.328	3.222	3.164	3.153	3.183	3.252	3.352	3.478	3.621	3.775	3.931	4.082	4.220	4.339	4.434	4.499	4.532	4.530	4.493	4.421	4.317	4.184	4.027	3.852	3.667	3.478	3.293	3.120	2.969	2.845	2.757	2.710	2.710	2.761
100000010	6.616	6.917	7.183	7.404	7.572	7.681	7.724	7.699	7.602	7.434	7.195	6.889	6.520	6.097	5.626	5.118	4.584	4.035	3.484	2.943	2.424	1.941	1.504	1.123	0.808	0.567	0.405	0.327	0.334	0.427	0.604	0.860	1.189	1.585	2.038	2.537	3.071	3.628	4.194	4.758	5.306	5.827	6.309	6.742	7.118	7.430	7.672	7.841	7.934	7.953	7.900	7.778	7.592	7.351	7.062	6.734	6.377	6.001	5.618	5.236	4.866	4.517	4.197	3.913	3.669	3.471	3.321	3.219	3.165	3.156	3.190	3.261	3.364	3.491	3.635	3.789	3.945	4.095	4.232	4.349	4.441	4.504	4.534	4.529	4.488	4.414	4.307	4.172	4.013	3.837	3.651	3.461	3.277	3.105	2.955	2.834	2.749	2.706	2.709	2.764
100000011	6.641	6.940	7.202	7.420	7.584	7.688	7.727	7.697	7.594	7.421	7.177	6.865	6.493	6.065	5.592	5.081	4.545	3.996	3.445	2.905	2.388	1.907	1.474	1.098	0.788	0.552	0.396	0.324	0.338	0.437	0.619	0.881	1.216	1.616	2.073	2.575	3.111	3.668	4.235	4.798	5.344	5.862	6.341	6.770	7.142	7.448	7.685	7.848	7.936	7.950	7.891	7.764	7.575	7.330	7.037	6.707	6.349	5.973	5.589	5.209	4.840	4.493	4.176	3.895	3.655	3.460	3.314	3.216	3.165	3.160	3.197	3.271	3.376	3.504	3.649	3.804	3.959	4.108	4.243	4.359	4.449	4.508	4.535	4.527	4.484	4.406	4.297	4.159	3.999	3.821	3.634	3.445	3.261	3.091	2.942	2.824	2.741	2.701	2.709	2.767
100000012	6.665	6.962	7.222	7.436	7.596	7.696	7.729	7.694	7.586	7.407	7.158	6.842	6.465	6.034	5.557	5.044	4.506	3.956	3.405	2.866	2.352	1.874	1.444	1.073	0.768	0.538	0.388	0.322	0.342	0.447	0.636	0.903	1.243	1.647	2.108	2.612	3.150	3.709	4.275	4.837	5.382	5.897	6.373	6.798	7.165	7.466	7.698	7.855	7.938	7.946	7.882	7.750	7.557	7.308	7.013	6.680	6.321	5.944	5.561	5.181	4.814	4.470	4.155	3.877	3.641	3.450	3.307	3.213	3.166	3.165	3.205	3.281	3.388	3.518	3.664	3.818	3.973	4.121	4.255	4.368	4.455	4.513	4.537	4.525	4.479	4.398	4.286	4.147	3.984	3.806	3.618	3.428	3.245	3.076	2.929	2.813	2.734	2.697	2.708	2.771
100000013	6.690	6.984	7.241	7.452	7.608	7.703	7.731	7.690	7.578	7.393	7.139	6.818	6.437	6.002	5.521	5.006	4.467	3.916	3.366	2.828	2.316	1.841	1.415	1.048	0.749	0.524	0.380	0.321	0.347	0.458	0.652	0.925	1.270	1.679	2.143	2.650	3.190	3.749	4.316	4.877	5.419	5.932	6.404	6.825	7.187	7.484	7.710	7.862	7.939	7.942	7.873	7.736	7.539	7.286	6.988	6.654	6.293	5.915	5.532	5.154	4.789	4.446	4.134	3.860	3.627	3.440	3.301	3.211	3.168	3.169	3.212	3.291	3.400	3.531	3.678	3.832	3.987	4.134	4.266	4.377	4.462	4.517	4.538	4.523	4.474	4.391	4.276	4.134	3.970	3.790	3.601	3.412	3.229	3.061	2.917	2.803	2.726	2.693	2.708	2.775
100000014	6.714	7.006	7.260	7.467	7.619	7.709	7.733	7.687	7.569	7.379	7.120	6.794	6.408	5.969	5.486	4.969	4.428	3.877	3.326	2.790	2.280	1.809	1.386	1.024	0.730	0.511	0.373	0.319	0.352	0.469	0.669	0.948	1.297	1.711	2.178	2.688	3.230	3.790	4.356	4.916	5.457	5.967	6.435	6.852	7.210	7.501	7.721	7.868	7.940	7.937	7.863	7.722	7.520	7.264	6.963	6.627	6.265	5.887	5.504	5.126	4.763	4.423	4.114	3.842	3.613	3.430	3.295	3.209	3.169	3.174	3.220	3.301	3.412	3.545	3.692	3.847	4.001	4.146	4.277	4.386	4.469	4.520	4.538	4.521	4.469	4.383	4.265	4.121	3.955	3.774	3.585	3.395	3.213	3.047	2.904	2.793	2.719	2.690	2.709	2.779
100000015	6.738	7.028	7.279	7.482	7.630	7.716	7.734	7.683	7.559	7.364	7.100	6.769	6.379	5.937	5.450	4.931	4.389	3.837	3.287	2.752	2.245	1.776	1.358	1.000	0.711	0.498	0.366	0.319	0.357	0.481	0.687	0.971	1.325	1.743	2.213	2.726	3.269	3.830	4.397	4.955	5.494	6.001	6.466	6.879	7.231	7.518	7.733	7.874	7.940	7.932	7.853	7.707	7.501	7.242	6.938	6.600	6.236	5.858	5.476	5.099	4.738	4.400	4.094	3.826	3.600	3.421	3.290	3.207	3.171	3.179	3.228	3.312	3.424	3.558	3.706	3.861	4.014	4.159	4.288	4.395	4.475	4.524	4.539	4.519	4.463	4.374	4.254	4.108	3.941	3.758	3.569	3.379	3.197	3.032	2.892	2.783	2.713	2.687	2.709	2.784
100000016	6.762	7.050	7.298	7.497	7.641	7.722	7.735	7.678	7.550	7.349	7.080	6.745	6.350	5.904	5.415	4.893	4.350	3.797	3.248	2.715	2.209	1.744	1.330	0.976	0.693	0.485	0.360	0.318	0.363	0.493	0.705	0.994	1.353	1.775	2.249	2.764	3.309	3.871	4.437	4.995	5.531	6.035	6.497	6.905	7.253	7.534	7.744	7.879	7.940	7.927	7.843	7.692	7.482	7.220	6.913	6.573	6.208	5.830	5.447	5.072	4.712	4.377	4.074	3.809	3.587	3.412	3.284	3.205	3.173	3.185	3.236	3.322	3.437	3.572	3.721	3.875	4.028	4.172	4.299	4.404	4.481	4.527	4.539	4.516	4.457	4.366	4.243	4.095	3.926	3.742	3.552	3.362	3.182	3.018	2.880	2.773	2.706	2.684	2.710	2.789
100000017	6.786	7.071	7.316	7.512	7.651	7.727	7.736	7.674	7.540	7.334	7.059	6.719	6.321	5.871	5.379	4.855	4.310	3.758	3.209	2.677	2.174	1.712	1.302	0.953	0.675	0.473	0.354	0.319	0.370	0.506	0.723	1.017	1.382	1.808	2.285	2.803	3.349	3.912	4.477	5.034	5.568	6.069	6.527	6.931	7.274	7.550	7.754	7.884	7.939	7.921	7.832	7.677	7.463	7.197	6.888	6.546	6.180	5.801	5.419	5.045	4.687	4.355	4.054	3.793	3.575	3.403	3.279	3.204	3.175	3.190	3.245	3.333	3.449	3.586	3.735	3.890	4.042	4.184	4.309	4.412	4.487	4.530	4.539	4.513	4.451	4.357	4.232	4.082	3.911	3.726	3.535	3.346	3.166	3.004	2.867	2.764	2.700	2.681	2.711	2.794
100000018	6.810	7.093	7.334	7.526	7.661	7.732	7.736	7.668	7.529	7.318	7.038	6.694	6.291	5.838	5.343	4.816	4.271	3.718	3.170	2.639	2.139	1.680	1.274	0.931	0.657	0.462	0.348	0.319	0.377	0.518	0.742	1.042	1.411	1.840	2.321	2.841	3.389	3.952	4.517	5.072	5.605	6.103	6.557	6.957	7.295	7.566	7.764	7.889	7.938	7.915	7.821	7.661	7.443	7.174	6.863	6.518	6.151	5.772	5.391	5.018	4.662	4.332	4.035	3.777	3.562	3.394	3.275	3.203	3.178	3.196	3.253	3.344	3.462	3.599	3.749	3.904	4.055	4.196	4.320	4.420	4.492	4.533	4.539	4.509	4.445	4.348	4.221	4.068	3.896	3.710	3.519	3.330	3.151	2.990	2.856	2.755	2.694	2.678	2.713	2.800
100000019	6.833	7.114	7.352	7.540	7.670	7.737	7.736	7.663	7.518	7.302	7.017	6.668	6.261	5.804	5.306	4.778	4.231	3.678	3.131	2.602	2.104	1.649	1.247	0.908	0.640	0.450	0.343	0.320	0.384	0.532	0.761	1.066	1.440	1.874	2.357	2.880	3.429	3.993	4.558	5.111	5.641	6.137	6.586	6.982	7.315	7.581	7.774	7.893	7.937	7.908	7.809	7.645	7.424	7.151	6.837	6.491	6.123	5.744	5.363	4.992	4.638	4.310	4.016	3.761	3.550	3.386	3.270	3.202	3.181	3.202	3.262	3.355	3.474	3.613	3.764	3.918	4.069	4.208	4.330	4.428	4.498	4.535	4.538	4.506	4.439	4.339	4.209	4.054	3.880	3.694	3.502	3.313	3.135	2.976	2.844	2.746	2.688	2.676	2.715	2.806
100000020	6.857	7.135	7.370	7.554	7.680	7.742	7.735	7.657	7.507	7.285	6.995	6.642	6.231	5.770	5.270	4.740	4.192	3.638	3.092	2.565	2.070	1.618	1.220	0.886	0.624	0.440	0.338	0.322	0.392	0.546	0.781	1.091	1.469	1.907	2.394	2.919	3.469	4.033	4.598	5.150	5.678	6.170	6.616	7.007	7.335	7.595	7.783	7.897	7.935	7.901	7.797	7.629	7.403	7.128	6.811	6.464	6.095	5.715	5.336	4.965	4.613	4.288	3.997	3.746	3.539	3.378	3.266	3.202	3.184	3.208	3.271	3.366	3.487	3.627	3.778	3.932	4.082	4.220	4.340	4.436	4.503	4.537	4.537	4.502	4.432	4.329	4.197	4.041	3.865	3.678	3.486	3.297	3.120	2.962	2.832	2.737	2.683	2.674	2.717	2.812
100000021	6.880	7.155	7.387	7.567	7.689	7.746	7.734	7.650	7.495	7.268	6.973	6.615	6.200	5.736	5.233	4.701	4.152	3.599	3.053	2.528	2.035	1.587	1.194	0.864	0.608	0.429	0.334	0.324	0.400	0.560	0.800	1.116	1.499	1.941	2.431	2.958	3.510	4.074	4.638	5.188	5.714	6.203	6.645	7.031	7.355	7.610	7.792	7.900	7.933	7.894	7.785	7.613	7.383	7.104	6.785	6.436	6.066	5.687	5.308	4.939	4.589	4.267	3.979	3.731	3.527	3.371	3.262	3.202	3.187	3.215	3.280	3.378	3.500	3.641	3.792	3.946	4.095	4.232	4.350	4.443	4.508	4.539	4.536	4.498	4.425	4.320	4.185	4.027	3.850	3.661	3.469	3.281	3.105	2.949	2.821	2.728	2.677	2.673	2.719	2.819
100000022	6.903	7.176	7.404	7.580	7.697	7.749	7.732	7.644	7.483	7.251	6.951	6.588	6.169	5.702	5.196	4.662	4.113	3.559	3.014	2.491	2.001	1.556	1.167	0.843	0.592	0.420	0.330	0.327	0.409	0.575	0.821	1.141	1.529	1.974	2.467	2.997	3.550	4.114	4.677	5.227	5.750	6.235	6.674	7.056	7.374	7.624	7.801	7.903	7.931	7.886	7.773	7.596	7.363	7.081	6.759	6.408	6.038	5.659	5.280	4.913	4.565	4.245	3.960	3.716	3.516	3.363	3.259	3.202	3.191	3.222	3.290	3.389	3.513	3.655	3.807	3.960	4.108	4.244	4.360	4.451	4.512	4.541	4.535	4.494	4.418	4.310	4.173	4.012	3.834	3.645	3.452	3.265	3.089	2.935	2.810	2.720	2.672	2.672	2.722	2.826
