Platelet_sample			
GeneID	1	2	3
100287102	61.8	59.02	14.14
653635	1.225	1.195	0.9327
102466751	0	0	0
107985730	0	0.2069	0
100302278	0	0	0
645520	0	0.09849	0
79501	0	0	0
100996442	0.02214	0.2274	0.04046
729737	0.5346	0.4066	0.2894
102725121	77.69	70.71	16.84
102723897	1.354	1.327	0.9745
102465909	0	0	0
107985721	0.04005	0.04113	0
112268260	0	0.0844	0.06006
729759	0	0	0
100132287	0.124	0.1273	0.09062
105378947	0	0	0
101928626	0.1358	0	0
113219467	9496	7936	3020
81399	0.01875	0.03851	0.01142
100133331	0.07609	0.1302	0.09268
107984841	0	0.1202	0.07128
107984847	0.2235	0.2295	0.2722
107984849	0	0	0
100288069	0.07905	0.08118	0.04814
105378580	0.232	0.3249	0.03854
400728	0	0	0
79854	0.1646	0.676	0
643837	0.2113	0.1326	0.05719
107984850	0.08833	0	0
284593	0.1271	0.1305	0.1161
284600	0	0	0
100130417	0	0	0
107985728	0	0	0
148398	0	0.04352	0.1291
26155	0	0.8881	1.341
339451	0	0	0
84069	0	0	0
84808	0	0	0
57801	0	0.05797	0.06875
9636	3.062	2.271	4.559
375790	0	0	0
100288175	0	0	0
112267874	0	0	0
105378948	0	0	0
401934	0	0	0
54991	0	0.04576	0.08142
254099	0	0	0
406984	0	0	0
406983	0	0	0
554210	0	0	0
100506376	0	0	0
254173	0.02523	0	0
8784	0	0	0.05372
7293	0	0.1213	0.05394
51150	2.157	3.555	1.314
126792	0.3091	0.03968	0.2353
388581	0	0	0
118424	1.124	1.411	1.598
101928895	0	0	0
6339	0	0	0
116983	0	0.2014	0.1294
102465434	0	0	0
109623456	0	0	0
126789	0	0.4729	0.4674
54973	0	0.8467	0.8536
102465435	0	0	0
80772	0.8197	2.013	0.5643
83756	0	0	0
1855	0	0	0.03949
102466740	0	0	0
54587	0	0	0
54998	4.236	5.85	3.113
81669	0	0.1148	0.5106
148413	0.186	0.5094	0.5664
55052	1.867	1.598	1.137
107984868	0	0.08663	0
441869	0	0	0
105378585	0	0	0
643965	0	0	0
102724312	0	0	0
107985729	0	0	0
64856	0	0	0
219293	0	0.08641	0.01708
83858	0	0.1243	0.04212
55210	0.07513	0.03858	0.02288
339453	0	0	0
29101	11.99	22.28	17.17
643988	2.449	3.982	2.082
105378586	0.9473	1.557	0.5769
142678	0	0.5282	0.395
8510	0	0.1208	0.02388
984	0.3229	0.3826	0.3782
728661	1.255	1.933	1.844
8511	0	0.1228	0.1457
728642	1.599	0.5109	0.1948
9906	1.5	1.708	1.031
112268218	0.2133	0.2191	0.06496
65220	1.362	0.7213	0.9203
2782	96.46	103.8	58.24
105378949	0.07372	0.07571	0.0898
163688	0	0.2479	0
339456	0	0	0
85452	0	0.2256	0.02676
107984872	0	0.07952	0
105378589	0	0	0.0556
2563	0.1269	0.3691	0.1931
105378590	0	0.2501	0
105378591	0	0	0
5590	0	0.0303	0.1078
100506504	0	0	0
199990	1.078	1.972	1.144
112268219	0.2434	0.04167	0
105378593	0	0	0.06402
6497	0.4801	0.4427	0.1372
79906	0	0.01794	0.02128
100129534	0	0.04951	0
11079	6.407	8.086	5.427
5192	3.183	2.304	1.144
9651	0	0	0
55229	0	0.298	0.3387
388585	0	0	0
115110	0.1173	0.3132	0.07144
8764	0.637	1.238	0.9559
100996583	0	0	1.04
127281	5.323	2.194	4.087
79258	0.6197	0.5024	0.5363
105378597	0	0	0
100287898	0	0.04716	0
105378603	0	0	0
105378602	0	0	0
105378601	0	0	0
112268220	0	0	0
107985732	0	0	0
105378600	0	0	0
105378598	0.0231	0	0
107984904	0	0	0
105378599	0	0	0
140625	0	0	0
440556	0	0	0
63976	0.01246	0	0
100422968	0	0	0
105378606	0	0.3062	0.02136
107984909	0	0	0
105378605	0	0	0
105378604	0.008017	0	0
27237	0	0	0
1953	0	0	0.0457
105378608	0	0	0
693135	0	0	0
105378607	0	0	0
127262	11.74	11.96	12.75
49856	0	0	0.2887
7161	0	0	0.04739
105378610	0	0	0
105378609	0	0	0
57212	0	0	0.07157
148870	0	0	0
388588	0.5674	2.913	1.152
57470	0	1.06	0.8129
9731	1.604	1.381	0.5527
1677	0.09408	0.2125	0.1031
107984910	2.577	2.401	0.05812
339448	4.41	4.763	3.442
100133612	0	0	0.1691
728716	0	0	0.2324
105376672	0	0	0
105376673	0	0.07346	0
284661	0	0.1073	0
105376674	0	0	0.05617
105376679	0	0	0.1284
107985376	37.94	42.56	52.02
55966	0	0.06816	0.005052
105376680	0	0	0
102724429	0	0	0
105376681	0	0	0
105376682	0	0	0
107984911	0	0	0
105376686	0	0.08024	0
100616421	0	0	0
261734	0.01297	0.01332	0.007899
8514	0.02022	0.706	0.2216
26038	0	0.0226	0
105376687	0	0	0
6146	4.733	1.728	3.17
107985733	0	0	0
102724450	0	0	0
388591	0.02134	0.02192	0.07798
23463	0.6478	1.032	0.4897
148645	0	0	0
390992	0	0	0
387509	0	0	0.0271
11332	33.18	41.38	25.99
54626	0	0.07834	0
83715	0.03713	0.01271	0.007537
100422975	0	0	0
8718	0	0.3485	0.2756
57449	0	0	0.01106
79707	0	0.2959	0.04178
80835	0	0.0523	0
107984912	0	0.7486	0
3104	0	0.03704	0.2196
9903	0	0.3155	0.6949
107984913	0	0.1694	0
148479	0.874	0.2027	0.4464
90326	0.4636	0.4166	0.1412
55735	1.918	0.2074	0.1845
100505887	0	0.6884	0
110841581	0	0	0.1196
23261	9.147	9.04	11.19
105376692	0	0	0
102725193	0	0	0
101928836	0	0	0
105376691	0	0	0
105376689	0	0	0
9341	7.209	7.699	8.504
8863	0.4079	0.4712	0.1785
10911	0	0.3923	0.1163
3604	0.3471	0.0648	0.07686
11315	166	208.8	183.6
54206	0	0	0.04835
107984915	0.499	0	0.1823
102724539	0	0.2239	0
105376695	0	0	0
50651	0	0	0
473	0.07681	0.4075	0.3508
102724552	0	0	0
106632271	0	0	0
2023	129.7	155	85.27
102465436	0	0	0
100505975	0	0	0.2953
112268261	0	0	0
765	0	0	0
155184	0	0.1071	0.03176
6518	0	0.01889	0
80045	0	0	0.01265
106614088	0	0	0.1111
407040	0	0	0
102724571	0	0.1133	0
9563	0	0.09118	0
80176	1.326	2.831	2.316
100506022	2	0.3652	0.2707
84275	0.5139	0.1944	0.08236
199953	0.1667	0.04668	0.02768
107985734	0.09834	0.101	0
105376712	0	0	0
5293	0.4451	0.422	1.105
644997	0	0.2442	0.1086
101929074	0	0	0.06889
22883	0.3259	0.9203	0.0124
56998	6.007	8.045	2.998
105376717	2.011	2.754	0.6804
84328	4.467	3.992	1.297
64802	0.1593	0.1168	0
113391335	0	0	0
100847055	0	0	0
116362	1.935	0.3975	0.55
10277	0.1701	1.89	0.6782
23095	0.332	1.043	1.289
105376725	0	0	0.1366
5226	63.5	85.69	73.5
100526739	0.9917	0.2829	0.4026
378708	1.253	0.3574	0.6782
1325	0	0	0
1676	0.1027	0.1807	0.2769
5195	0.01802	0.5552	0.01097
54897	0	0.09716	0.1945
105376733	0	0	0
105376735	0	0	0
148345	0	0.1906	0
23435	0.2279	0.7232	0.8326
10747	0	0.1243	0
6723	2.337	5.25	3.736
5394	0	0.2038	0.2072
105376736	0	0	0.3262
2475	0.01131	0.1161	0.07577
100873935	0	0	0.09349
10218	0	0	0.05276
29914	0	0.1176	0.06977
105376737	0	0.05699	0
105376739	0	0	0
105376740	0.2299	0	0
57540	0	0.01482	0
112268221	1.095	0	0
101929181	0	0	0
26232	0	0	0.3077
93611	0	0.03063	0.05449
26270	0.4497	0.2886	0.5477
10459	1.195	0.4909	0.1747
374946	0.01204	0.06181	0.02199
57085	14.66	14.46	11.18
284498	0	0.3506	0.1386
102724659	0	0	0
4524	0.4554	1.15	0.5771
1185	0	0.05849	0.04625
100379251	1.956	0.7366	2.899
4878	2.408	1.172	3.782
4879	0	0	0
26829	0	0	0
90231	8.15	8.922	8.101
5351	0.904	7.212	0.8893
9927	54.68	92.35	5.988
60672	0.5051	1.326	1.025
102466982	0	0	0
943	0.1542	0.4224	0.07827
102465836	0	0	0.6875
7133	0.8598	0.4307	2.414
100616438	0	0	0
107984917	0	0	0
55187	0.2186	0.2586	0.1614
677885	0	0.7322	0
105376744	0	0.2415	0.01591
9249	25.22	21.24	7.703
102466722	0	0	0
343066	0.05213	0.3212	0.254
126767	0	0.02745	0.1139
93190	0	0.09368	0.01852
390999	0	0.4379	0
65121	0	0	0
105376745	0	0	0
440560	0	0	0
343069	0.09263	0	0.1128
65122	0	0	0.1023
400735	0	0	0.03587
343071	0	0	0
441871	0	0	0
440561	0	0.1941	0.07675
101929983	0.07542	0.07745	0
649330	0	0.2213	0
441873	0	0.0574	0.03404
649324	0	0	0
440563	0	0	0
645354	0	0	0
645359	0	0.06235	0.03698
101060301	0	0.1199	0
343070	0.1508	0	0.04593
400736	0	0	0
391003	0	0.2095	0.03106
343068	0	0.18	0.03558
391002	0	0	0
645382	0	0	0
653619	0	0	0.03539
729528	0	0	0
645414	0	0	0.2176
391004	0	0.1411	0
645425	0	0	0
126755	0	0	0.06089
102724856	0	0	0
107984918	0	0	0
10630	0	0.1417	0.02101
107984919	0.05105	0.1048	0
105378612	0	0	0.05877
105376756	0	0.5025	0.5959
7799	0.3341	0.612	0.4069
23254	0.04691	0.1308	0.1224
107985467	0	0	0.06234
107985468	0	0	0
105376762	0	0.08925	0.05293
105376759	0	0.02061	0
107985469	0	0.04816	0.02856
200197	0.1087	0.03189	0.03783
55092	0	0.07927	0.1645
727684	0	0.06664	0.03952
114827	0.02795	0.08611	0.04255
101927417	0	0.1788	0.06363
101927441	0	0.09434	0.04662
79180	3.982	3.217	8.42
11330	0.03107	0.351	0
63036	0	0.3645	0
105376767	0	0	0
51032	0.7107	0.2433	0
842	3.483	2.994	1.115
23341	1.312	1.161	0.5609
107397391	0	0	0.9497
79814	0	0.1079	0.1493
84301	0.3048	0.9181	0.7363
6248	0.04675	0.3841	0.9966
23207	1.86	1.017	0.9122
284723	0	0.07554	0
110806303	0	0	0
388595	0	0	0
54751	0	0.06678	0.066
440567	4.835	9.723	9.814
729614	1.071	2.078	1.039
23013	0.6738	0.4942	0.3997
7709	0.04582	0.4235	0.3488
149563	0	0.1465	0.08687
27129	0	0	0
1187	0	0	0
1188	0	0	0
348487	0	0	0.1151
1969	0	0	0
101927479	0	0.2335	0
128272	0	0.09695	0
