GeneID	GSM5226229	GSM5226230	GSM5226231	GSM5226232	GSM5226233	GSM5226234	GSM5530616	GSM5530617	GSM5530618	GSM5530619	GSM5530620	GSM5530621
100287102	0.1004	0.199	0.03024	0.1882	0.02647	0.1985	0.2016	0.1212	0.1792	0.8253	0.4523	0.05812
653635	7.129	8.895	3.36	12.38	13.62	12.19	21.51	14.38	10.61	43.51	23.11	6.16
102466751	3.05	3.454	0	10.45	11.58	4.822	4.897	8.834	0	0	7.848	2.824
107985730	0.07711	0	0	0	0	0	0	0	0	0	0.1984	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0.04157	0	0.0393	0	0	0	0	0	0	0.09446	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	0.05933	0.2015	0.03062	0.5989	0.5361	0.5025	0.1531	0.4296	0.0605	0.1714	0.3053	0.3139
729737	0.9776	1.124	0.1186	5.192	1.558	3.475	0.8669	2.798	0.3137	1.705	1.813	2.877
102725121	0.05163	0.1461	0	0.1934	0.02721	0.3061	0.0518	0	0.03685	0.4568	0.3985	0.02987
102723897	8.104	9.415	3.092	13.31	15.84	14.5	24.01	16.15	10.89	44.78	22.73	6.87
102465909	3.05	4.144	0	10.45	10.93	6.028	3.673	8.834	0	0	9.418	2.824
107985721	0	0	0	0.01641	0	0.01515	0	0.037	0	0.03876	0.03944	0
112268260	0.0818	0.07124	0.01515	0.1684	0.07296	0.1492	0.1263	0.1063	0.02694	0.04772	0.09714	0.07281
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	0.655	0.9243	0.04572	3.364	1.711	2.42	0.7239	1.947	0.1761	0.8879	1.734	1.703
105378947	0.05312	0.04009	0	0.07581	0.01866	0.08747	0	0.08546	0	0	0	0.02049
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	3641	2109	3583	2370	2902	1776	7097	3149	3592	1.115e+04	7683	2227
81399	0	0.008126	0	0.01537	0.007566	0.01418	0	0.01732	0	0	0	0.02492
100133331	0.7572	1.011	0.07014	3.939	1.811	2.839	0.8572	2.085	0.194	0.8836	1.898	1.944
107984841	0.0448	0.4058	0.05394	2.062	1.464	1.992	0.0899	1.189	0.06394	0.2265	0.2305	0.9332
107984847	0.08553	0.4842	0	2.838	2.525	4.648	0	2.064	0.1221	0	0.4401	2.376
107984849	0.1482	0.3355	0	1.11	0.7809	1.318	0	1.073	0	0	0	0.6858
100288069	0.03026	0.2398	0	1.911	1.244	1.644	0.1822	0.7302	0.08638	0.153	0.2336	0.8054
105378580	0.08881	0.2925	0.01944	0.4408	0.2894	0.3271	0.0162	0.4092	0.02305	0	0.1454	0.2056
